rule_id,rule_name,primary_code,primary_code_description
RUL0012,Chiller - Cooling Substance Temperature Setpoint Attainment,CS005,Control System Malfunction
RUL0012,Chiller - Cooling Substance Temperature Setpoint Attainment,CS001,Calibration Drift
RUL0013,Chiller - Low Supply Temperature,CS005,Control System Malfunction
RUL0013,Chiller - Low Supply Temperature,CS002,Sensor Failure
RUL0014,Chiller - Cooling Substance Delta T Low,M013,Condenser Plugged
RUL0014,Chiller - Cooling Substance Delta T Low,M014,Condenser Tube Leak
RUL0015,Chiller - Efficiency,M010,Compressor Failure
RUL0015,Chiller - Efficiency,CS005,Control System Malfunction
RUL0016,Chiller - Condenser Water Flow Through A Chiller That Is Off,CS005,Control System Malfunction
RUL0017,Chiller - Load Low,M007,Overloading
RUL0017,Chiller - Load Low,M011,Motor Failure
RUL0018,Chiller - Evaporator Approach High,M003,Deformation
RUL0018,Chiller - Evaporator Approach High,M010,Compressor Failure
RUL0019,Chiller - Condenser Approach High,M013,Condenser Plugged
RUL0019,Chiller - Condenser Approach High,M014,Condenser Tube Leak
RUL0020,Chiller - Chilled water differential pressure setpoint attainment,CS001,Calibration Drift
RUL0020,Chiller - Chilled water differential pressure setpoint attainment,CS002,Sensor Failure
RUL0021,Chiller - Excessive Power use in chiller that is off,M007,Overloading
RUL0021,Chiller - Excessive Power use in chiller that is off,M011,Motor Failure
RUL0022,Chiller - Chiller Cycling,CS005,Control System Malfunction
RUL0023,Chiller - Out of Optimum Energy Loop Mode,CS005,Control System Malfunction
RUL0024,Chiller - VFD Speed is Low,E006,VFD (Variable Frequency Drive) Failure
RUL0024,Chiller - VFD Speed is Low,M011,Motor Failure
RUL0025,Chiller - VFD Speed is High,E006,VFD (Variable Frequency Drive) Failure
RUL0025,Chiller - VFD Speed is High,M007,Overloading
RUL0026,Chiller - Amperage is High,M007,Overloading
RUL0026,Chiller - Amperage is High,M010,Compressor Failure
RUL0027,Chiller - Makeup Water High,L004,Piping Leak
RUL0027,Chiller - Makeup Water High,L005,Seepage
RUL0028,Chiller - Chilled water leaving temperature varies between chillers,CS002,Sensor Failure
RUL0028,Chiller - Chilled water leaving temperature varies between chillers,M014,Condenser Tube Leak
RUL0029,Chiller - Chiller Off and running chilled water,CS005,Control System Malfunction
RUL0030,Chiller - Surging,M010,Compressor Failure
RUL0030,Chiller - Surging,M008,Vibration Issues
