category,primary_code,primary_code_description
Structural and Mechanical Failures,M001,Cracking
Structural and Mechanical Failures,M002,Fracture
Structural and Mechanical Failures,M003,Deformation
Structural and Mechanical Failures,M004,Rupture
Structural and Mechanical Failures,M005,Misalignment
Structural and Mechanical Failures,M006,Overheating
Structural and Mechanical Failures,M007,Overloading
Structural and Mechanical Failures,M008,Vibration Issues
Structural and Mechanical Failures,M009,Actuator Failure
Structural and Mechanical Failures,M010,Compressor Failure
Structural and Mechanical Failures,M011,Motor Failure
Structural and Mechanical Failures,M012,Sensor/Transducer Failure
Structural and Mechanical Failures,M013,Condenser Plugged
Structural and Mechanical Failures,M014,Condenser Tube Leak
Structural and Mechanical Failures,M015,Flow Sensor Failure
Structural and Mechanical Failures,M016,Draining Operations
Structural and Mechanical Failures,M017,Major Overhaul
Structural and Mechanical Failures,M018,Replacement
Structural and Mechanical Failures,M019,Installation
Structural and Mechanical Failures,M020,Head Operations
Corrosion and Wear,C001,Corrosion
Corrosion and Wear,C002,Erosion
Corrosion and Wear,C003,Wear
Corrosion and Wear,C004,Abrasion
Leaks and Seepage,L001,Refrigerant Leak
Leaks and Seepage,L002,Condenser Tube Leak
Leaks and Seepage,L003,Evaporator Leak
Leaks and Seepage,L004,Piping Leak
Leaks and Seepage,L005,Seepage
Electrical Failures,E001,Short Circuit
Electrical Failures,E002,Open Circuit
Electrical Failures,E003,Insulation Failure
Electrical Failures,E004,Overvoltage
Electrical Failures,E005,Undervoltage
Electrical Failures,E006,VFD (Variable Frequency Drive) Failure
Control System Failures,CS001,Calibration Drift
Control System Failures,CS002,Sensor Failure
Control System Failures,CS003,Actuator Failure
Control System Failures,CS004,Software Error
Control System Failures,CS005,Control System Malfunction
Control System Failures,CS006,Control System Lag
Control System Failures,CS007,Overactive Control Logic
Human Factors,H001,Human Error
Human Factors,H002,Improper Operation
Human Factors,H003,Improper Maintenance
External Influences,EX001,Environmental Impact
External Influences,EX002,Chemical Exposure
External Influences,EX003,Physical Impact
Operational Failures,OP001,Process Upset
Operational Failures,OP002,Blockage
Operational Failures,OP003,Contamination
Operational Failures,OP004,Flow Sensor Failure
Maintenance and Routine Checks,MT001,Routine Maintenance
Maintenance and Routine Checks,MT002,Cleaning
Maintenance and Routine Checks,MT003,Lubrication
Maintenance and Routine Checks,MT004,Refrigerant Addition
Maintenance and Routine Checks,MT005,Pressure Test
Maintenance and Routine Checks,MT006,Major Overhaul
Maintenance and Routine Checks,MT007,Eddy Current Test
Maintenance and Routine Checks,MT008,Leak Detection
Maintenance and Routine Checks,MT009,Refrigerant Transfer
Maintenance and Routine Checks,MT010,Oil Analysis
Maintenance and Routine Checks,MT011,Calibration
Maintenance and Routine Checks,MT012,Freon Management
Maintenance and Routine Checks,MT013,Vibration Analysis
Maintenance and Routine Checks,MT014,Filter Replacement
Maintenance and Routine Checks,MT015,Filling Operations
